,popularity,runtime,vote_average,vote_count,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Canada,France,Germany,India,Italy,Japan,Russia,Spain,United Kingdom,United States of America,label
26,0.60755969850301,0.10877192982456141,0.53,0.01699524133242692,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20
27,0.29692801189484713,0.09736842105263158,0.6900000000000001,0.016024084684859666,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
28,0.18461297695458595,0.08859649122807017,0.61,0.0006798096532970768,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,38
29,0.032615757714092926,0.07192982456140351,0.5900000000000001,0.001456734971350879,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
30,0.11235580162879216,0.08421052631578947,0.5900000000000001,0.0023307759541614063,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
31,0.21919937533198147,0.08421052631578947,0.54,0.0041759735845391865,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
32,0.14896749711536816,0.09473684210526316,0.43,0.0028163542779450325,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
33,0.09997070113639775,0.09210526315789473,0.54,0.0035932795959988345,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
34,0.021358535604387212,0.08157894736842106,0.45,0.00019423132951345052,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
35,0.452291115474378,0.1,0.5700000000000001,0.036321258619015244,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
36,7.020093965963425e-07,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
37,0.5081680046882192,0.11491228070175438,0.71,0.07089443527240943,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
